xentraldesk-worker  | INFO:app.services.knowledge_service:Γ£ô ALL 4 DOCUMENTS FROM https://mcgatetechnologies.com/ HAVE BEEN PROCESSED
xentraldesk-worker  | INFO:app.worker:ΓöîΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÉ
xentraldesk-worker  | INFO:app.worker:Γöé Γ£ô SCRAPE COMPLETE                                   Γöé
xentraldesk-worker  | INFO:app.worker:Γöé Document: c6500736-ada7-4af1-9d85-d58ed90d172b Γöé
xentraldesk-worker  | INFO:app.worker:ΓööΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÿ
xentraldesk-worker  | 21:49:11: 434.45s ΓåÉ 8bd75cf7ad18481481348420aba60ac2:scrape_document_job ΓùÅ 
xentraldesk-worker  | INFO:arq.worker:434.45s ΓåÉ 8bd75cf7ad18481481348420aba60ac2:scrape_document_job ΓùÅ 
xentraldesk-worker  | PostgreSQL is up - proceeding
xentraldesk-worker  | 21:55:09: Starting worker for 3 functions: process_document_job, scrape_document_job, run_campaign_job
xentraldesk-worker  | INFO:arq.worker:Starting worker for 3 functions: process_document_job, scrape_document_job, run_campaign_job
xentraldesk-worker  | 21:55:09: redis_version=7.4.8 mem_usage=5.13M clients_connected=2 db_keys=159
xentraldesk-worker  | INFO:arq.worker:redis_version=7.4.8 mem_usage=5.13M clients_connected=2 db_keys=159
xentraldesk-worker  | INFO:app.worker:Worker: Starting up...
xentraldesk-worker  | INFO:app.services.browser_service:Initializing Playwright Browser...
xentraldesk-worker  | INFO:app.services.browser_service:Playwright Browser started.
xentraldesk-worker  | PostgreSQL is up - proceeding
xentraldesk-worker  | 22:00:39: Starting worker for 3 functions: process_document_job, scrape_document_job, run_campaign_job
xentraldesk-worker  | INFO:arq.worker:Starting worker for 3 functions: process_document_job, scrape_document_job, run_campaign_job
xentraldesk-worker  | 22:00:39: redis_version=7.4.8 mem_usage=5.13M clients_connected=2 db_keys=159
xentraldesk-worker  | INFO:arq.worker:redis_version=7.4.8 mem_usage=5.13M clients_connected=2 db_keys=159
xentraldesk-worker  | INFO:app.worker:Worker: Starting up...
xentraldesk-worker  | INFO:app.services.browser_service:Initializing Playwright Browser...
xentraldesk-worker  | INFO:app.services.browser_service:Playwright Browser started.
xentraldesk-worker  | 22:04:02:   0.12s ΓåÆ 42283019229749e4995a25074fc23d87:scrape_document_job('a56cd44e-439e-4bbc-a086-e36d1340783b', 'https://mcgatetechnologies.com/', None)
xentraldesk-worker  | INFO:arq.worker:  0.12s ΓåÆ 42283019229749e4995a25074fc23d87:scrape_document_job('a56cd44e-439e-4bbc-a086-e36d1340783b', 'https://mcgatetechnologies.com/', None)
xentraldesk-worker  | INFO:app.worker:ΓöîΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÉ
xentraldesk-worker  | INFO:app.worker:Γöé SCRAPE JOB STARTED                                  Γöé
xentraldesk-worker  | INFO:app.worker:Γöé Document ID: a56cd44e-439e-4bbc-a086-e36d1340783b Γöé
xentraldesk-worker  | INFO:app.worker:Γöé URL: https://mcgatetechnologies.com/          Γöé
xentraldesk-worker  | INFO:app.worker:ΓööΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÿ
xentraldesk-worker  | INFO:app.services.knowledge_service:ΓòöΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòù
xentraldesk-worker  | INFO:app.services.knowledge_service:Γòæ ≡ƒÆÄ GOD_MODE v4: SCRAPER NAMING LOCK          Γòæ
xentraldesk-worker  | INFO:app.services.knowledge_service:Γòæ SOURCE_NAME: mc gate                          Γòæ
